module,function,co_emergence,co-presence_jaccard_index,co-presence_FET_p_value,co-presence_FET-odds_ratio
B33,ZNF627,False,0.017094017094017096,1.0,inf
B33,MRPL12,False,0.02564102564102564,1.0,inf
B33,MFAP5,False,0.5641025641025641,0.44067796610169496,inf
B33,LTBP3,False,0.1794871794871795,1.0,inf
B33,MFAP4,False,0.5641025641025641,0.44067796610169496,inf
B33,ASPH,False,0.05982905982905983,1.0,inf
B33,FXR1,False,0.02564102564102564,1.0,inf
B33,LINGO1,False,0.02564102564102564,1.0,inf
B33,IGFL3,False,0.03418803418803419,1.0,inf
B33,ELN,False,0.5641025641025641,0.44067796610169496,inf
B33,LCE1C,False,0.20512820512820512,1.0,inf
B33,LCE2C,False,0.1794871794871795,1.0,inf
B33,ZNF444,False,0.05128205128205128,1.0,inf
B33,ECM1,False,0.017094017094017096,1.0,inf
B33,PRNP,False,0.03418803418803419,1.0,inf
B33,ARMS2,False,0.05128205128205128,1.0,inf
B33,NOS3,False,0.1794871794871795,1.0,inf
B33,ZNF136,False,0.017094017094017096,1.0,inf
B33,MFAP2,False,0.5641025641025641,0.44067796610169496,inf
B33,HTRA1,False,0.017094017094017096,1.0,inf
B33,ANAPC11,False,0.1794871794871795,1.0,inf
B33,TIMP3,False,0.017094017094017096,1.0,inf
B33,ACAN,False,0.19658119658119658,1.0,inf
B33,ZNF696,False,0.017094017094017096,1.0,inf
B33,FBN1,False,0.5641025641025641,0.44067796610169496,inf
B33,CREB5,False,0.06837606837606838,1.0,inf
B33,LCE3D,False,0.1794871794871795,1.0,inf
B849,MFAP1,False,0.09090909090909091,0.03375186720818618,inf
B849,MFAP3,False,0.09090909090909091,0.03375186720818618,inf
B849,TFAP2C,False,0.09090909090909091,0.03375186720818618,inf
B849,VTN,False,0.09090909090909091,0.03375186720818618,inf
B849,HOXA1,False,0.09090909090909091,0.03375186720818618,inf
B849,NID1,False,0.2608695652173913,3.0635073020884756e-05,inf
B849,ATN1,False,0.09090909090909091,0.03375186720818618,inf
B849,EMILIN1,False,0.09090909090909091,0.03375186720818618,inf
B849,HSD3B7,False,0.08,0.28939726465412396,2.4473684210526314
B849,OTX1,False,0.06666666666666667,0.6647669346436956,1.8717948717948718
B849,FN1,False,0.2608695652173913,3.0635073020884756e-05,inf
B849,FBN2,False,0.09090909090909091,0.03375186720818618,inf
B849,HSPG2,False,0.2608695652173913,3.0635073020884756e-05,inf
B849,NUFIP2,False,0.09090909090909091,0.03375186720818618,inf
B849,LAMA5,False,0.1111111111111111,0.1906497859284178,7.266666666666667
B849,VCAN,False,0.2608695652173913,3.0635073020884756e-05,inf
B849,MFAP5,False,0.09090909090909091,0.03375186720818618,inf
B849,MFAP4,False,0.09090909090909091,0.03375186720818618,inf
B849,ELN,False,0.09090909090909091,0.03375186720818618,inf
B849,MFAP2,False,0.09090909090909091,0.03375186720818618,inf
B849,ACAN,False,0.2608695652173913,3.0635073020884756e-05,inf
B849,FBN1,False,0.09090909090909091,0.03375186720818618,inf
B849,LCE3D,False,0.08,0.28939726465412396,2.4473684210526314
B410,ARMS2,False,0.3,0.0024216046965528913,27.0
B538,ARMS2,False,0.1875,0.01749674608907446,10.2
B262,RECQL4,False,0.045454545454545456,0.3255106475445459,4.8
B262,ARMS2,False,0.125,0.06858256441347,5.222222222222222
B10,RECQL4,False,0.05,0.29726205997392435,5.444444444444445
B10,ARMS2,False,0.13636363636363635,0.05218813560532906,6.0
B351,ARMS2,False,0.3,0.0024216046965528913,27.0
B263,RECQL4,False,0.1,0.14732724902216426,13.5
B741,MFAP1,False,0.21212121212121213,0.00023209152672940182,inf
B741,FBXW5,False,0.0625,0.3177479057081629,3.923076923076923
B741,MFAP3,False,0.21212121212121213,0.00023209152672940182,inf
B741,TFAP2C,False,0.21212121212121213,0.00023209152672940182,inf
B741,COL8A1,False,0.0625,0.3177479057081629,3.923076923076923
B741,VTN,False,0.21212121212121213,0.00023209152672940182,inf
B741,HOXA1,False,0.21212121212121213,0.00023209152672940182,inf
B741,NID1,True,0.6086956521739131,1.5662515726077824e-12,inf
B741,ATN1,False,0.21212121212121213,0.00023209152672940182,inf
B741,EMILIN1,False,0.21212121212121213,0.00023209152672940182,inf
B741,HSD3B7,False,0.16666666666666666,0.12765700495996501,3.0555555555555554
B741,OTX1,False,0.12,0.5629467953222951,1.4166666666666667
B741,FN1,True,0.6086956521739131,1.5662515726077824e-12,inf
B741,FBN2,False,0.21212121212121213,0.00023209152672940182,inf
B741,HSPG2,True,0.6086956521739131,1.5662515726077824e-12,inf
B741,NUFIP2,False,0.21212121212121213,0.00023209152672940182,inf
B741,LAMA5,False,0.2,0.005063569909960275,28.09090909090909
B741,VCAN,True,0.6086956521739131,1.5662515726077824e-12,inf
B741,ZNF408,False,0.058823529411764705,0.4008046824045604,2.58974358974359
B741,MFAP5,False,0.21212121212121213,0.00023209152672940182,inf
B741,MFAP4,False,0.21212121212121213,0.00023209152672940182,inf
B741,ELN,False,0.21212121212121213,0.00023209152672940182,inf
B741,MFAP2,False,0.21212121212121213,0.00023209152672940182,inf
B741,ACAN,True,0.6086956521739131,1.5662515726077824e-12,inf
B741,FBN1,False,0.21212121212121213,0.00023209152672940182,inf
B741,LCE3D,False,0.16666666666666666,0.12765700495996501,3.0555555555555554
B485,ARMS2,False,0.25,0.005580911128587267,17.666666666666668
