NP_006477.3,NUFIP2|MFAP4|HOXA1|ELN|ATN1|FBN2|MFAP1|VTN|MFAP3|EMILIN1|TFAP2C|FBN1|MFAP5|MFAP2|MEOX2|GFI1B|LCE3A|CACNA1A|LCE1C|CREB5|FBLN5|FBLN1|ZNF444|PLSCR4|LCE1A|CXCL5|ADAMTSL4|LTBP4|LINGO1|MRPL12|TRIM42|KRTAP11-1|PLSCR1|CAVIN1|FXR1|TIMP3|KRTAP19-2|OCLN|DDIAS|NLGN3|HTRA1|ECM1|VCAN|NID1|ACAN|HSPG2|FN1|ZFP41|IGFL3|ZNF764|ITM2B|PRNP|ST14|ARMS2
NP_001004019.1,NUFIP2|MFAP4|HOXA1|ELN|ATN1|FBN2|MFAP1|VTN|MFAP3|EMILIN1|TFAP2C|FBN1|MFAP5|MFAP2|OTX1|LCE3D|HSD3B7|ZNF408|FBXW5|COL8A1|VCAN|NID1|ACAN|HSPG2|FN1|LAMA5
NP_001034437.1,NUFIP2|MFAP4|HOXA1|ELN|ATN1|FBN2|MFAP1|VTN|MFAP3|EMILIN1|TFAP2C|FBN1|MFAP5|MFAP2|MEOX2|GFI1B|OTX1|LCE3A|CACNA1A|LCE1C|LCE3D|HSD3B7|DYRK1A|TGFB1|LTBP1|FBLN1|ZNF444|ZNF408|FAM110A|PROP1|ZNF768|ANAPC11|LCE2C|ATXN7|IGFBP6|SGTA|SHANK3|CLPP|LTBP3|NOS3|RERE|CYSRT1|BAG6|TIMP3|KRTAP19-2|OCLN|DDIAS|NLGN3|HTRA1|ECM1|ZNF324|ZNF627|ZNF136|MAGEA3|ZBTB9|ZNF460|ZNF696|EGFL7|DNAJC10|ZNF747|HSPA5|FBLN7
NP_058634.4,NUFIP2|MFAP4|HOXA1|ELN|ATN1|FBN2|MFAP1|VTN|MFAP3|EMILIN1|TFAP2C|FBN1|MFAP5|MFAP2|MEOX2|GFI1B|OTX1|LCE3A|CACNA1A|LCE1C|LCE3D|HSD3B7|DYRK1A|TGFB1|LTBP1|CREB5|FBLN5|FAM110A|PROP1|ZNF768|ANAPC11|LCE2C|ATXN7|IGFBP6|SGTA|SHANK3|CLPP|LTBP3|NOS3|RERE|CYSRT1|BAG6|PLSCR4|LCE1A|CXCL5|ADAMTSL4|LTBP4|LINGO1|MRPL12|TRIM42|KRTAP11-1|PLSCR1|CAVIN1|FXR1|FBXW5|COL8A1|LOX|EFEMP2|LOXL1
NP_001371087.1,NUFIP2|MFAP4|HOXA1|ELN|ATN1|FBN2|MFAP1|VTN|MFAP3|EMILIN1|TFAP2C|FBN1|MFAP5|MFAP2|MEOX2|GFI1B|OTX1|DYRK1A|TGFB1|LTBP1|CREB5|FBLN5|FBLN1|ZNF444|ZNF408|LOX|EFEMP2|LOXL1|ZNF324|ZNF627|ZNF136|MAGEA3|ZBTB9|ZNF460|ZNF696|EGFL7|DNAJC10|ZNF747|ZFP41|IGFL3|ZNF764|ITM2B|PRNP|ST14|ASPH|RECQL4|LAMA5
NP_114141.2,ARMS2
XP_011508887.1,ASPH
NP_001278744.1,RECQL4
