og_name,refseq
OG0001147,NP_001278744
OG0001147,NP_114141
OG0001147,XP_011508340
OG0001147,XP_011508343
OG0001147,XP_011516767
OG0001147,XP_011516768
OG0001147,XP_011516769
OG0001147,XP_011516770
OG0001147,XP_011516771
OG0001147,XP_011516772
OG0001147,XP_016857926
OG0001147,XP_016870074
OG0001147,XP_016870075
OG0001147,XP_024305886
OG0001147,NP_001019891
OG0001147,NP_001357831
OG0001147,XP_006498564
OG0001147,XP_006498566
OG0001147,XP_006498567
OG0001147,XP_006529820
OG0001147,XP_006529821
OG0001147,XP_011246353
OG0001147,NP_001177233
OG0001147,XP_001920501
OG0001147,XP_005160777
OG0001147,XP_009293028
OG0001147,XP_009293029
OG0001147,NP_001024582
OG0001147,NP_001359724
OG0001147,NP_001360633
OG0001147,NP_001360634
OG0001147,NP_509635
OG0001147,XP_012816895
OG0001147,XP_031747766
OG0001147,XP_031747767
OG0001147,XP_031747768
OG0001147,XP_031756932
OG0001147,XP_018668081
OG0001147,NP_001179466
OG0001147,XP_010808812
OG0001147,XP_010808813
OG0001147,XP_010811862
OG0001147,XP_024832004
OG0001147,XP_015146072
OG0001147,XP_015146076
OG0001147,XP_015146077
OG0001147,XP_015146078
OG0001147,XP_025008796
OG0001147,XP_025008797
OG0001147,XP_025008798
OG0001147,XP_025008799
OG0001147,XP_025008800
OG0001147,XP_025008801
OG0001147,XP_040560834
OG0001147,XP_040560835
OG0001147,XP_040560836
OG0001147,XP_040560837
OG0001147,XP_040560838
OG0001147,XP_040560839
OG0001147,XP_040560840
OG0001147,XP_040560841
OG0001147,XP_040560842
OG0001147,XP_040560843
OG0001147,XP_040560844
OG0001147,XP_040560845
OG0001364,NP_001034437
OG0001364,NP_001034438
OG0001364,NP_001371087
OG0001364,NP_001371088
OG0001364,NP_001371089
OG0001364,NP_001371090
OG0001364,NP_001371091
OG0001364,NP_006320
OG0001364,NP_058634
OG0001364,XP_005264262
OG0001364,XP_011534658
OG0001364,XP_016859075
OG0001364,XP_024308523
OG0001364,XP_024308524
OG0001364,XP_024308525
OG0001364,NP_001157824
OG0001364,NP_001348916
OG0001364,NP_001361609
OG0001364,NP_035942
OG0001364,NP_067449
OG0001364,NP_666127
OG0001364,XP_006514723
OG0001364,XP_006515928
OG0001364,XP_006515929
OG0001364,XP_006531870
OG0001364,XP_006531871
OG0001364,XP_006531872
OG0001364,XP_006531873
OG0001364,XP_030101658
OG0001364,XP_030106873
OG0001364,NP_001005979
OG0001364,NP_001008587
OG0001364,NP_001103991
OG0001364,NP_001153830
OG0001364,XP_005156878
OG0001364,XP_009294778
OG0001364,XP_009305317
OG0001364,XP_017214396
OG0001364,XP_021324469
OG0001364,XP_021324470
OG0001364,XP_021324471
OG0001364,NP_001123132
OG0001364,NP_001025619
OG0001364,XP_002936872
OG0001364,XP_002939376
OG0001364,XP_002128973
OG0001364,NP_001014946
OG0001364,NP_001069517
OG0001364,NP_001075186
OG0001364,XP_005212658
OG0001364,XP_005212659
OG0001364,XP_005222280
OG0001364,XP_005222281
OG0001364,XP_010808233
OG0001364,XP_010819408
OG0001364,XP_010819409
OG0001364,XP_024854279
OG0001364,NP_001264403
OG0001364,XP_025004920
OG0005269,NP_001987
OG0005269,NP_006476
OG0005269,NP_006477
OG0005269,NP_006478
OG0005269,NP_001334017
OG0005269,NP_034310
OG0005269,NP_571117
OG0005269,NP_001023236
OG0005269,NP_001023237
OG0005269,NP_001293875
OG0005269,NP_001293876
OG0005269,NP_001293877
OG0005269,NP_001293878
OG0005269,NP_001293879
OG0005269,NP_501694
OG0005269,XP_031754335
OG0005269,XP_031754336
OG0005269,XP_031754337
OG0005269,XP_031754338
OG0005269,XP_031754339
OG0005269,XP_009857426
OG0005269,XP_018668509
OG0005269,NP_001091498
OG0005269,XP_024847454
OG0005269,NP_989496
OG0005269,XP_015145378
OG0005269,XP_015145379
OG0005753,NP_001004019
OG0005753,NP_001158507
OG0005753,NP_001989
OG0005753,NP_001074906
OG0005753,NP_032018
OG0005753,XP_006505593
OG0005753,XP_030111016
OG0005753,XP_030111017
OG0005753,XP_001341277
OG0005753,XP_005169394
OG0005753,XP_017949170
OG0005753,XP_031757003
OG0005753,XP_002697177
OG0005753,XP_015315190
OG0005753,XP_024839093
OG0005753,XP_015148926
OG0005753,XP_015148927
OG0005753,XP_015148928
OG0005753,XP_015148929
OG0005753,XP_015148930
OG0005753,XP_015148931
OG0005753,XP_015148933
OG0005753,XP_040502609
OG0005753,XP_040502610
OG0005753,XP_040502611
OG0006099,NP_001121637
OG0006099,NP_694946
OG0006099,XP_006712323
OG0006099,XP_011508887
OG0006099,XP_011508889
OG0006099,XP_016858806
OG0006099,XP_016858808
OG0006099,XP_024308454
OG0006099,NP_077199
OG0006099,XP_006500220
OG0006099,XP_001918972
OG0006099,XP_002665476
OG0006099,XP_009305867
OG0006099,XP_009305868
OG0006099,XP_017209808
OG0006099,XP_002940445
OG0006099,XP_031756690
OG0006099,XP_002119967
OG0006099,XP_002125565
OG0006099,XP_018669313
OG0006099,XP_026692301
OG0006099,XP_002691171
OG0006099,NP_001313425
OG0006099,XP_040501945
no_og,XP_054197008
no_og,XP_054197007
no_og,
