id,NID1,CLPP,EMILIN1,ST14,ATN1,EGFL7,OCLN,LTBP1,FBXW5,GFI1B,HSD3B7,LAMA5,MFAP5,FN1,IGFBP6,LTBP4,ZNF768,MEOX2,DDIAS,ELN,ZFP41,ASPH,ADAMTSL4,KRTAP11-1,LCE1A,FXR1,HTRA1,ZNF408,BAG6,ANAPC11,COL8A1,IGFL3,TFAP2C,LCE2C,ZNF460,EFEMP2,ZNF627,ZNF747,LOX,CXCL5,MAGEA3,FBLN5,TIMP3,TGFB1,LOXL1,FBLN1,MFAP4,LCE3D,LTBP3,MFAP2,SHANK3,FAM110A,ZNF764,ZNF324,CREB5,RERE,ZNF136,RECQL4,DYRK1A,ECM1,KRTAP19-2,ACAN,ZNF444,VCAN,MFAP3,CACNA1A,SGTA,PLSCR4,ZBTB9,LCE3A,FBN1,FBN2,MFAP1,CYSRT1,ZNF696,MRPL12,NUFIP2,LCE1C,FBLN7,HOXA1,ITM2B,PLSCR1,TRIM42,DNAJC10,HSPA5,NLGN3,ARMS2,VTN,ATXN7,LINGO1,PRNP,NOS3,OTX1,PROP1,CAVIN1,HSPG2
XP001341277.2_7955_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP017949170.2_8364_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP015148926.2_9031_41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002697177.1_9913_42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001004019.1_9606_43,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
NP032018.2_10090_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002125565.2_7719_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002119967.2_7719_53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP040501945.1_9031_54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP031756690.1_8364_55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002665476.3_7955_57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
